Manufacturer,Model Name,Category,Screen Size,RAM,Storage,Operating System,Weight,Price,Screen Name,Resolution Product
Dell,XPS 13,Ultrabook,13.3,8,256,Windows,1.21,14662908,IPS Panel Full HD,2073600
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,1,Windows,2.45,6215508,Full HD,2073600
Acer,Aspire 5,Notebook,15.6,8,1,Windows,2.2,6126588,Full HD,2073600
HP,Probook 430,Notebook,13.3,16,512,Windows,1.49,10643724,Full HD,2073600
Dell,Inspiron 7577,Gaming,15.6,8,256,Windows,2.65,10625940,Full HD,2073600
Asus,Zenbook UX430UA,Ultrabook,14.0,8,256,Windows,1.25,9327708,Full HD,2073600
Acer,Spin 5,2 in 1 Convertible,13.3,8,256,Windows,1.5,7531524,IPS Panel Full HD / Touchscreen,2073600
Dell,Inspiron 3567,Notebook,15.6,8,1,Linux,2.2,5334311,Full HD,2073600
Dell,Inspiron 3567,Notebook,15.6,4,256,Linux,2.2,4312620,Full HD,2073600
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,256,Windows,2.0,5130684,Full HD,2073600
HP,Omen 15-ce007nv,Gaming,15.6,12,128,Windows,2.62,11106108,IPS Panel Full HD,2073600
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,256,Windows,1.91,6393348,Full HD,2073600
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,500,Windows,2.1,3103308,Full HD,2073600
Dell,Inspiron 3576,Notebook,15.6,8,1,Linux,2.2,5753124,Full HD,2073600
HP,Envy 13-ad009n,Ultrabook,13.3,8,256,Windows,1.38,9950148,IPS Panel Full HD,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,8,256,Windows,1.252,11915280,Touchscreen,3393024
HP,Pavilion 14-BK001nv,Notebook,14.0,6,256,Windows,1.58,5859828,IPS Panel Full HD,2073600
Lenovo,Ideapad 310-15ISK,Notebook,15.6,4,1,Windows,1.85,3689291,Full HD,2073600
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8,256,Windows,1.3,10608156,IPS Panel Full HD,2073600
MSI,GP62M 7REX,Gaming,15.6,16,256,Windows,2.2,11550708,Full HD,2073600
Lenovo,Thinkpad T470,Notebook,14.0,8,256,Windows,1.58,13160160,IPS Panel Full HD,2073600
Asus,VivoBook S15,Ultrabook,15.6,16,256,Windows,1.5,11221704,Full HD,2073600
Dell,XPS 13,Ultrabook,13.3,8,256,Windows,1.23,12262068,Quad HD+ / Touchscreen,5760000
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8,256,Windows,1.37,12439908,IPS Panel Full HD / Touchscreen,2073600
HP,Probook 440,Notebook,14.0,4,500,Windows,1.63,6420024,IPS Panel,1049088
Dell,XPS 13,Ultrabook,13.3,8,256,Windows,1.21,14485068,IPS Panel Full HD,2073600
HP,Spectre x360,2 in 1 Convertible,13.3,8,256,Windows,1.26,12439819,IPS Panel Full HD / Touchscreen,2073600
HP,Probook 440,Notebook,14.0,8,512,Windows,1.63,9638928,Full HD,2073600
Dell,Inspiron 7570,Notebook,15.6,8,256,Windows,2.16,10050894,IPS Panel Full HD,2073600
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4,1,Windows,2.0,5015088,Full HD,2073600
Asus,VivoBook S15,Notebook,15.6,8,256,Windows,1.7,9941256,Full HD,2073600
Acer,Spin 3,Notebook,15.6,6,1,Windows,2.1,4259268,IPS Panel Full HD / Touchscreen,2073600
MSI,GS63VR 7RG,Gaming,15.6,16,256,Windows,1.8,19931418,Full HD,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,256,No OS,2.2,5593068,Full HD,2073600
HP,Probook 470,Notebook,17.3,16,512,Windows,2.5,11301732,Full HD,2073600
Acer,Aspire 3,Notebook,15.6,4,256,Windows,2.1,4010292,IPS Panel Full HD / Touchscreen,1049088
HP,250 G6,Notebook,15.6,4,500,No OS,1.86,2303028,Full HD,1049088
HP,Probook 440,Notebook,14.0,8,1,Windows,1.63,7220304,Full HD,2073600
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,4,64,Windows,1.65,2471887,Full HD,1049088
Dell,Inspiron 5770,Notebook,17.3,16,256,Windows,2.8,12413232,Full HD,2073600
HP,ProBook 470,Notebook,17.3,8,256,Windows,2.5,8251776,Full HD,2073600
Dell,Inspiron 5567,Notebook,15.6,8,1,Windows,2.36,5681899,Full HD,1049088
Dell,Inspiron 3567,Notebook,15.6,4,1,Windows,2.2,3992508,Full HD,2073600
Acer,Swift 3,Ultrabook,14.0,8,256,Windows,1.6,7860528,IPS Panel Full HD,2073600
Acer,Aspire A515-51G-37JS,Notebook,15.6,4,256,Windows,2.2,5086224,Full HD,2073600
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,8,1,Windows,2.05,5317416,Full HD,1049088
HP,Probook 440,Notebook,14.0,8,256,Windows,1.63,8785296,Full HD,2073600
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,4,1,No OS,1.9,2243985,Full HD,1049088
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,8,128,Windows,3.0,8340696,Full HD,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,4,1,No OS,2.2,4437108,Full HD,2073600
HP,Envy 13-AD007nv,Notebook,13.3,4,256,Windows,1.32,6215508,IPS Panel Full HD,2073600
Acer,Aspire 5,Notebook,17.3,4,1,Windows,3.0,5824260,IPS Panel Full HD,2073600
Lenovo,ThinkPad E480,Notebook,14.0,8,256,Windows,1.75,9923650,IPS Panel Full HD,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,256,No OS,2.4,7727148,IPS Panel Full HD,2073600
Toshiba,Satellite Pro,Notebook,15.6,4,500,Windows,2.1,5352984,IPS Panel Full HD,1049088
HP,255 G6,Notebook,15.6,4,256,Windows,1.86,3281148,IPS Panel Full HD,1049088
Asus,ZenBook UX430UA,Ultrabook,14.0,8,256,Windows,1.25,9772308,Full HD,2073600
HP,EliteBook Folio,Ultrabook,12.5,8,512,Windows,0.97,17908488,IPS Panel 4K Ultra HD / Touchscreen,8294400
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,4,1,Windows,2.0,3058848,Full HD,2073600
MSI,GE72MVR 7RG,Gaming,17.3,16,256,Windows,2.9,18041868,Full HD,2073600
Acer,Aspire A315-51,Notebook,15.6,4,1,Windows,2.1,3974724,IPS Panel Full HD,1049088
Dell,Inspiron 5577,Gaming,15.6,16,512,Windows,2.56,11108420,Full HD,2073600
Dell,Inspiron 7567,Gaming,15.6,8,1,Windows,2.62,7993908,Full HD,2073600
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,4,128,Windows,1.9,4428216,IPS Panel Full HD,1049088
MSI,GE73VR 7RE,Gaming,17.3,16,256,Windows,2.8,16805880,Full HD,2073600
HP,EliteBook 840,Ultrabook,14.0,4,256,Windows,1.48,9621144,Full HD,2073600
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,6,256,Windows,1.91,5504148,Full HD,2073600
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,4,256,Windows,1.74,5593068,IPS Panel Full HD / Touchscreen,2073600
Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,256,Windows,1.1,11692980,Full HD / Touchscreen,2073600
Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,256,Windows,1.56,9327708,Full HD / Touchscreen,2073600
Toshiba,Satellite Pro,Notebook,15.6,4,500,Windows,2.1,3974724,Full HD / Touchscreen,1049088
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,4,1,Windows,2.03,3583476,Full HD / Touchscreen,1049088
Acer,Aspire A517-51G,Notebook,17.3,4,256,Windows,3.0,7158060,IPS Panel Full HD,2073600
Dell,Inspiron 3576,Notebook,15.6,8,256,Windows,2.13,6473376,Full HD,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,256,Windows,2.5,9594468,IPS Panel Full HD,2073600
Acer,Aspire A315-31,Notebook,15.6,4,1,Windows,2.1,3094416,IPS Panel Full HD,1049088
MSI,GE63VR 7RE,Gaming,15.6,16,256,Windows,2.4,15996708,IPS Panel Full HD,2073600
Acer,Aspire 3,Notebook,15.6,4,1,Windows,2.1,3232331,IPS Panel Full HD,1049088
Dell,Inspiron 5577,Gaming,15.6,8,128,Windows,2.56,9429877,Full HD,2073600
Acer,Aspire A517-51G,Notebook,17.3,8,256,Windows,3.0,7593768,IPS Panel Full HD,2073600
HP,ProBook 430,Notebook,13.3,4,500,Windows,1.49,6704568,IPS Panel Full HD,2073600
Huawei,MateBook X,Ultrabook,13.0,8,256,Windows,1.05,11995308,IPS Panel Full HD,3110400
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,6,2,Windows,2.71,6215508,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,500,No OS,2.2,2747628,IPS Panel Full HD,1049088
Toshiba,Satellite Pro,Notebook,15.6,4,500,Windows,2.0,4348188,Full HD,1049088
HP,ProBook 470,Notebook,17.3,8,256,Windows,2.5,8207316,Full HD,2073600
Dell,Inspiron 3567,Notebook,15.6,8,1,Windows,2.3,4081428,Full HD,1049088
Acer,Aspire A315-51,Notebook,15.6,4,128,Windows,2.1,3992508,IPS Panel Full HD,1049088
MSI,GT80S 6QF-074US,Gaming,18.4,32,512,Windows,4.4,24888708,Full HD,2073600
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,8,128,Windows,1.9,7229196,Full HD,2073600
HP,Spectre x360,2 in 1 Convertible,13.3,8,256,Windows,1.29,13329108,IPS Panel 4K Ultra HD / Touchscreen,8294400
Dell,Inspiron 5570,Notebook,15.6,16,256,Linux,2.02,9327708,Full HD,2073600
Dell,XPS 13,Ultrabook,13.3,8,256,Windows,1.23,12439908,Full HD,2073600
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,16,512,Windows,1.4,16441308,IPS Panel 4K Ultra HD / Touchscreen,8294400
Toshiba,Satellite Pro,Notebook,15.6,8,128,Windows,2.0,7051356,IPS Panel Full HD,1049088
Xiaomi,Mi Notebook,Notebook,15.6,8,256,No OS,1.95,10661508,IPS Panel Full HD,2073600
Dell,Inspiron 7773,Notebook,17.3,16,512,Windows,2.77,13773708,Full HD / Touchscreen,2073600
Dell,XPS 15,Notebook,15.6,16,512,Windows,2.06,21314124,4K Ultra HD / Touchscreen,8294400
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,256,No OS,2.4,6926868,IPS Panel Full HD,2073600
Acer,Swift 7,Ultrabook,13.3,8,256,Windows,1.12,8794188,IPS Panel Full HD,2073600
Dell,Inspiron 5770,Notebook,17.3,8,128,Windows,2.8,9647820,Full HD,2073600
Lenovo,Thinkpad Yoga,2 in 1 Convertible,14.0,16,1,Windows,1.42,25111008,Touchscreen,3686400
Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,14.0,4,32,Windows,1.3,2311920,IPS Panel Full HD,2073600
Xiaomi,Mi Notebook,Ultrabook,13.3,8,256,No OS,1.3,8891111,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,8,256,No OS,2.8,6206616,Touchscreen,1440000
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,1,Windows,1.62,7460388,IPS Panel Full HD / Touchscreen,2073600
HP,ProBook 470,Notebook,17.3,8,1,Windows,2.5,8127288,IPS Panel Full HD,2073600
Razer,Blade Pro,Gaming,17.3,32,1,Windows,3.49,54232308,4K Ultra HD / Touchscreen,8294400
HP,ProBook 430,Notebook,13.3,8,512,Windows,1.49,8527428,Full HD,2073600
HP,Omen 17-W295,Gaming,17.3,16,256,Windows,3.35,12262068,IPS Panel Full HD,2073600
HP,Probook 470,Notebook,17.3,8,256,Windows,2.5,9292140,Full HD,2073600
Dell,Inspiron 7577,Gaming,15.6,16,512,Windows,2.65,16405740,IPS Panel 4K Ultra HD,8294400
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,4,128,Windows,2.1,4383756,Touchscreen,1049088
Acer,Aspire E5-576G,Notebook,15.6,8,1,Windows,2.23,6597864,Full HD,2073600
Lenovo,Legion Y720-15IKB,Gaming,15.6,16,512,Windows,3.2,15552108,IPS Panel Full HD,2073600
Dell,Precision 7520,Workstation,15.6,16,256,Windows,2.8,27165060,4K Ultra HD,8294400
Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,512,No OS,2.4,12431016,Full HD,2073600
Dell,Inspiron 3567,Notebook,15.6,6,1,Windows,2.3,3903588,Touchscreen,1049088
Dell,XPS 13,Ultrabook,13.3,8,256,Windows,1.21,17330508,IPS Panel 4K Ultra HD / Touchscreen,8294400
Dell,XPS 13,Ultrabook,13.3,8,256,Windows,1.2,12884508,Full HD,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,256,Windows,2.2,5308524,Full HD,1049088
Acer,Aspire 7,Notebook,15.6,8,1,Linux,2.4,6926868,Full HD,2073600
Asus,ROG GL703VD-GC028T,Gaming,17.3,16,256,Windows,2.9,12511044,Full HD,2073600
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,4,500,No OS,2.1,3103308,Full HD,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,256,No OS,2.2,4881708,Full HD,2073600
Huawei,MateBook X,Ultrabook,13.0,8,512,Windows,1.05,13329108,IPS Panel Full HD,3110400
Dell,Inspiron 5370,Ultrabook,13.3,8,256,Windows,1.4,8286277,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,8,1,No OS,2.8,5237388,Full HD,1440000
HP,Probook 440,Notebook,14.0,8,256,Windows,1.63,9167652,Full HD,2073600
Dell,Latitude 5490,Ultrabook,14.0,8,256,Windows,1.6,10216908,Full HD,2073600
Dell,Inspiron 5379,2 in 1 Convertible,13.3,16,512,Windows,1.62,11372868,Full HD / Touchscreen,2073600
Dell,Inspiron 3576,Notebook,15.6,8,256,Linux,2.2,6022996,Full HD,2073600
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,8,256,Windows,1.74,7993908,IPS Panel Full HD,2073600
Toshiba,Portege Z30-C-16L,Ultrabook,13.3,8,256,Windows,1.2,12119796,Full HD,2073600
HP,ProBook 450,Notebook,15.6,8,1,Windows,2.1,7060248,Full HD,2073600
Dell,Alienware 17,Gaming,17.3,16,256,Windows,4.42,21841775,IPS Panel Full HD,2073600
Acer,Aspire E5-576G,Notebook,15.6,8,256,Windows,2.2,7398144,Full HD,2073600
Dell,Inspiron 5567,Notebook,15.6,16,1,Windows,2.3,7638317,Full HD / Touchscreen,2073600
Asus,Vivobook X541UV-DM1217T,Notebook,15.6,8,256,Windows,2.0,6837948,Full HD,2073600
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,8,256,Windows,2.69,7922772,Full HD,2073600
HP,ZBook 15u,Notebook,15.6,8,1,Windows,1.9,11283948,Full HD,2073600
Asus,Pro P2540UA-XO0198T,Notebook,15.6,4,1,Windows,2.37,3547819,Full HD,1049088
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,4,500,Windows,2.1,2934360,Full HD,1049088
Lenovo,Legion Y720-15IKB,Gaming,15.6,16,256,Windows,3.2,13329108,IPS Panel Full HD,2073600
Dell,Vostro 5468,Notebook,14.0,8,256,Windows,1.6,7638228,Full HD,2073600
Acer,Aspire R7,2 in 1 Convertible,13.3,8,256,Windows,1.6,6126588,IPS Panel Full HD / Touchscreen,2073600
Dell,Inspiron 5567,Notebook,15.6,16,256,Linux,2.36,7993908,Full HD,2073600
Acer,Aspire A315-51,Notebook,15.6,4,1,Linux,2.1,3467880,IPS Panel Full HD / Touchscreen,1049088
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,4,128,Windows,2.2,5112900,Full HD,2073600
Asus,ROG G703VI-E5062T,Gaming,17.3,32,512,Windows,4.7,34589880,Full HD,2073600
Acer,Nitro AN515-51,Gaming,15.6,8,256,Windows,2.5,7522632,IPS Panel Full HD,2073600
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,128,Windows,2.2,5237388,IPS Panel Full HD,1049088
Asus,VivoBook Pro,Notebook,17.3,8,128,Windows,2.1,10181340,Full HD,2073600
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,8,128,No OS,2.69,7904988,Full HD,2073600
Dell,Inspiron 5577,Gaming,15.6,8,256,Windows,2.56,7816068,Full HD,2073600
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,8,256,Windows,1.38,9594468,IPS Panel Full HD / Touchscreen,2073600
Dell,Inspiron 5570,Notebook,15.6,8,128,Windows,2.2,8758620,Full HD,2073600
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,8,1,Windows,2.04,4970628,Touchscreen,1049088
Asus,Rog G701VIK-BA060T,Gaming,17.3,16,256,Windows,3.6,26667108,Full HD,2073600
HP,ProBook 430,Notebook,13.3,4,500,Windows,1.49,6002100,IPS Panel Full HD,2073600
Apple,MacBook Pro,Ultrabook,13.3,8,512,macOS,1.37,18139680,IPS Panel Retina Display,4096000
Dell,Inspiron 5579,2 in 1 Convertible,15.6,8,1,Windows,2.08,7282548,IPS Panel Full HD / Touchscreen,2073600
Asus,ROG G752VSK-GC493T,Gaming,17.3,16,256,Windows,4.3,15996708,Full HD,2073600
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,4,1,Windows,1.68,4170348,Full HD,1049088
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,8,512,Windows,1.37,16441308,IPS Panel Full HD / Touchscreen,2073600
Acer,Aspire 5,Notebook,17.3,4,256,Windows,3.0,6242184,IPS Panel Full HD,2073600
